"player_name","player_id","year","xwoba","xba","xslg","xiso","xobp","brl","brl_percent","exit_velocity","max_ev","hard_hit_percent","k_percent","bb_percent","whiff_percent","chase_percent","arm_strength","sprint_speed","oaa","bat_speed","squared_up_rate","swing_length"
"Greene, Riley","682985","2025",69,30,90,93,22,97,95,48,94,61,4,34,12,29,47,31,73,92,1,48
"Clase, Jonatan","682729","2025",,,,,,,,,32,,,,,,69,95,,,,
"Lawlar, Jordan","691783","2025",,,,,,,,,30,,,,,,,98,,,,
"Varsho, Daulton","662139","2025",,,,,,,,,89,,,,,,5,77,95,,,
"Guerrero Jr., Vladimir","665489","2025",96,100,92,71,99,92,76,88,100,90,90,87,68,90,38,36,25,97,81,18
"Refsnyder, Rob","608701","2025",,,,,,,,,78,,,,,,84,31,,,,
"Báez, Javier","595879","2025",2,13,14,20,1,18,20,23,54,34,26,1,13,1,81,50,90,71,15,1
"Neto, Zach","687263","2025",76,52,89,90,40,85,87,72,70,69,12,22,22,35,59,69,6,40,59,69
"Harris, Dustin","687957","2025",,,,,,,,,19,,,,,,,92,,,,
"Story, Trevor","596115","2025",32,46,49,51,19,74,58,82,73,73,12,10,20,12,36,82,3,34,17,40
"Melton, Jacob","689200","2025",,,,,,,,,70,,,,,,40,90,,,,
"Benintendi, Andrew","643217","2025",46,22,60,70,30,62,67,20,36,23,74,51,48,42,37,30,4,9,82,69
"Busch, Michael","683737","2025",95,72,97,97,80,96,95,90,75,76,38,64,43,82,7,26,37,16,77,76
"Gelof, Zack","680869","2025",,,,,,,,,22,,,,,,9,67,,,,
"Moore, Christian","695681","2025",,,,,,,,,80,,,,,,15,78,,,,
"DeLuca, Jonny","676356","2025",,,,,,,,,19,,,,,,73,96,,,,
"Hassell III, Robert","690987","2025",,,,,,,,,43,,,,,,77,70,,,,
"Martin, Austin","668885","2025",,,,,,,,,21,,,,,,55,74,,,,
"Moreno, Gabriel","672515","2025",,,,,,,,,57,,,,,,,40,,,,
"Tatis Jr., Fernando","665487","2025",92,84,86,80,94,86,66,95,86,93,66,90,32,73,99,83,94,77,69,48
